,t,v
186,7.447447447,-0.255255255
187,7.487487487,-0.251251251
188,7.527527528,-0.247247247
189,7.567567568,-0.243243243
190,7.607607608,-0.239239239
191,7.647647648,-0.235235235
192,7.687687688,-0.231231231
193,7.727727728,-0.227227227
194,7.767767768,-0.223223223
195,7.807807808,-0.219219219
196,7.847847848,-0.215215215
197,7.887887888,-0.211211211
198,7.927927928,-0.207207207
199,7.967967968,-0.203203203
200,8.008008008,-0.199199199
201,8.048048048,-0.195195195
202,8.088088088,-0.191191191
203,8.128128128,-0.187187187
204,8.168168168,-0.183183183
205,8.208208208,-0.179179179
206,8.248248248,-0.175175175
207,8.288288288,-0.171171171
208,8.328328328,-0.167167167
209,8.368368368,-0.163163163
210,8.408408408,-0.159159159
211,8.448448448,-0.155155155
212,8.488488488,-0.151151151
213,8.528528529,-0.147147147
214,8.568568569,-0.143143143
215,8.608608609,-0.139139139
216,8.648648649,-0.135135135
217,8.688688689,-0.131131131
218,8.728728729,-0.127127127
219,8.768768769,-0.123123123
220,8.808808809,-0.119119119
221,8.848848849,-0.115115115
222,8.888888889,-0.111111111
223,8.928928929,-0.107107107
224,8.968968969,-0.103103103
225,9.009009009,-0.099099099
226,9.049049049,-0.095095095
227,9.089089089,-0.091091091
228,9.129129129,-0.087087087
229,9.169169169,-0.083083083
230,9.209209209,-0.079079079
231,9.249249249,-0.075075075
232,9.289289289,-0.071071071
233,9.329329329,-0.067067067
234,9.369369369,-0.063063063
235,9.409409409,-0.059059059
236,9.449449449,-0.055055055
237,9.489489489,-0.051051051
238,9.52952953,-0.047047047
239,9.56956957,-0.043043043
240,9.60960961,-0.039039039
241,9.64964965,-0.035035035
242,9.68968969,-0.031031031
243,9.72972973,-0.027027027
244,9.76976977,-0.023023023
245,9.80980981,-0.019019019
246,9.84984985,-0.015015015
247,9.88988989,-0.011011011
248,9.92992993,-0.007007007
249,9.96996997,-0.003003003
250,10.01001001,0.001001001
251,10.05005005,0.005005005
252,10.09009009,0.009009009
253,10.13013013,0.013013013
254,10.17017017,0.017017017
255,10.21021021,0.021021021
256,10.25025025,0.025025025
257,10.29029029,0.029029029
258,10.33033033,0.033033033
